season,week,next_week,event_type,celebrity_name,active_count,next_active_count,eliminated_count,added_count
1,1,2,no_elimination,,6,6,0,0
1,2,3,single_elimination,Trista Sutter,6,5,1,0
1,3,4,single_elimination,Evander Holyfield,5,4,1,0
1,4,5,single_elimination,Rachel Hunter,4,3,1,0
1,5,6,single_elimination,Joey McIntyre,3,2,1,0
2,1,2,single_elimination,Kenny Mayne,10,9,1,0
2,2,3,single_elimination,Tatum O'Neal,9,8,1,0
2,3,4,single_elimination,Giselle Fernandez,8,7,1,0
2,4,5,single_elimination,Master P,7,6,1,0
2,5,6,single_elimination,Tia Carrere,6,5,1,0
2,6,7,single_elimination,George Hamilton,5,4,1,0
2,7,8,single_elimination,Lisa Rinna,4,3,1,0
3,1,2,single_elimination,Tucker Carlson,11,10,1,0
3,2,3,single_elimination,Shanna Moakler,10,9,1,0
3,3,4,single_elimination,Harry Hamlin,9,8,1,0
3,4,5,single_elimination,Vivica A. Fox,8,7,1,0
3,5,6,multi_elimination,Sara Evans,7,5,2,0
3,5,6,multi_elimination,Willa Ford,7,5,2,0
3,6,7,no_elimination,,5,5,0,0
3,7,8,single_elimination,Jerry Springer,5,4,1,0
3,8,9,single_elimination,Monique Coleman,4,3,1,0
3,9,10,single_elimination,Joey Lawrence,3,2,1,0
4,1,2,no_elimination,,11,11,0,0
4,2,3,single_elimination,Paulina Porizkova,11,10,1,0
4,3,4,single_elimination,Shandi Finnessey,10,9,1,0
4,4,5,single_elimination,Leeza Gibbons,9,8,1,0
4,5,6,single_elimination,Clyde Drexler,8,7,1,0
4,6,7,single_elimination,Heather Mills,7,6,1,0
4,7,8,single_elimination,John Ratzenberger,6,5,1,0
4,8,9,single_elimination,Billy Ray Cyrus,5,4,1,0
4,9,10,single_elimination,Ian Ziering,4,3,1,0
5,1,2,single_elimination,Josie Maran,12,11,1,0
5,2,3,single_elimination,Albert Reed,11,10,1,0
5,3,4,single_elimination,Wayne Newton,10,9,1,0
5,4,5,single_elimination,Floyd Mayweather Jr. ,9,8,1,0
5,5,6,single_elimination,Mark Cuban,8,7,1,0
5,6,7,single_elimination,Sabrina Bryan,7,6,1,0
5,7,8,single_elimination,Jane Seymour,6,5,1,0
5,8,9,single_elimination,Cameron Mathison,5,4,1,0
5,9,10,single_elimination,Jennie Garth,4,3,1,0
6,1,2,no_elimination,,12,12,0,0
6,2,3,multi_elimination,Monica Seles,12,10,2,0
6,2,3,multi_elimination,Penn Jillette,12,10,2,0
6,3,4,single_elimination,Steve Guttenberg,10,9,1,0
6,4,5,single_elimination,Adam Carolla,9,8,1,0
6,5,6,single_elimination,Priscilla Presley,8,7,1,0
6,6,7,single_elimination,Marlee Matlin,7,6,1,0
6,7,8,single_elimination,Shannon Elizabeth,6,5,1,0
6,8,9,single_elimination,Mario,5,4,1,0
6,9,10,single_elimination,Marissa Jaret Winokur,4,3,1,0
7,1,2,multi_elimination,Jeffrey Ross,13,11,2,0
7,1,2,multi_elimination,Ted McGinley,13,11,2,0
7,2,3,multi_elimination,Kim Kardashian,11,9,2,0
7,2,3,multi_elimination,Misty May-Treanor,11,9,2,0
7,3,4,no_elimination,,9,9,0,0
7,4,5,single_elimination,Rocco DiSpirito,9,8,1,0
7,5,6,single_elimination,Toni Braxton,8,7,1,0
7,6,7,single_elimination,Cloris Leachman,7,6,1,0
7,7,8,single_elimination,Susan Lucci,6,5,1,0
7,8,9,single_elimination,Maurice Greene,5,4,1,0
7,9,10,single_elimination,Cody Linley,4,3,1,0
8,1,2,no_elimination,,13,13,0,0
8,2,3,single_elimination,Belinda Carlisle,13,12,1,0
8,3,4,single_elimination,Denise Richards,12,11,1,0
8,4,5,multi_elimination,Holly Madison,11,9,2,0
8,4,5,multi_elimination,Steve Wozniak,11,9,2,0
8,5,6,single_elimination,David Alan Grier,9,8,1,0
8,6,7,single_elimination,Steve-O,8,7,1,0
8,7,8,single_elimination,Lawrence Taylor,7,6,1,0
