season,week,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active
1,1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,20.0,6.666666666666667,1.0,6
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,20.0,6.666666666666667,1.0,6
1,1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,20.0,6.666666666666667,1.0,6
1,1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,18.0,6.0,4.0,6
1,1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,18.0,6.0,4.0,6
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,13.0,4.333333333333333,6.0,6
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,26.0,8.666666666666666,1.0,6
1,2,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,24.0,8.0,2.0,6
1,2,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,21.0,7.0,3.0,6
1,2,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,19.0,6.333333333333333,4.0,6
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,17.0,5.666666666666667,5.0,6
1,2,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,14.0,4.666666666666667,6.0,6
1,3,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,26.0,8.666666666666666,1.0,5
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,24.0,8.0,2.0,5
1,3,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,22.0,7.333333333333333,3.0,5
1,3,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,21.0,7.0,4.0,5
1,3,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,13.0,4.333333333333333,5.0,5
1,4,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,26.0,8.666666666666666,1.0,4
1,4,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,25.0,8.333333333333334,2.0,4
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,21.0,7.0,3.0,4
1,4,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,20.0,6.666666666666667,4.0,4
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,27.0,9.0,1.0,3
1,5,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,23.5,7.833333333333333,2.0,3
1,5,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,22.5,7.5,3.0,3
1,6,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,27.5,9.166666666666666,1.0,2
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,27.0,9.0,2.0,2
2,1,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,24.0,8.0,1.0,10
2,1,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,23.0,7.666666666666667,2.0,10
2,1,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,23.0,7.666666666666667,2.0,10
2,1,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,22.0,7.333333333333333,4.0,10
2,1,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,21.0,7.0,5.0,10
2,1,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,20.0,6.666666666666667,6.0,10
2,1,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,19.0,6.333333333333333,7.0,10
2,1,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,18.0,6.0,8.0,10
2,1,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,13.0,4.333333333333333,9.0,10
2,1,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,12.0,4.0,10.0,10
2,2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,29.0,9.666666666666666,1.0,9
2,2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,2.0,9
2,2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,24.0,8.0,3.0,9
2,2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,9
2,2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,22.0,7.333333333333333,5.0,9
2,2,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,22.0,7.333333333333333,5.0,9
2,2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,20.0,6.666666666666667,7.0,9
2,2,Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,17.0,5.666666666666667,8.0,9
2,2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,16.0,5.333333333333333,9.0,9
2,3,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,1.0,8
2,3,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,27.0,9.0,1.0,8
2,3,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,26.0,8.666666666666666,3.0,8
2,3,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,25.0,8.333333333333334,4.0,8
2,3,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,22.0,7.333333333333333,5.0,8
2,3,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,22.0,7.333333333333333,5.0,8
2,3,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,19.0,6.333333333333333,7.0,8
2,3,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,14.0,4.666666666666667,8.0,8
2,4,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,28.0,9.333333333333334,1.0,7
2,4,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,26.0,8.666666666666666,2.0,7
2,4,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,26.0,8.666666666666666,2.0,7
2,4,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,25.0,8.333333333333334,4.0,7
2,4,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,24.0,8.0,5.0,7
2,4,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,21.0,7.0,6.0,7
2,4,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,8.0,2.6666666666666665,7.0,7
2,5,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,30.0,10.0,1.0,6
2,5,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,2.0,6
2,5,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,25.0,8.333333333333334,3.0,6
2,5,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,24.0,8.0,4.0,6
2,5,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,5.0,6
2,5,Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,22.0,7.333333333333333,6.0,6
2,6,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,30.0,10.0,1.0,5
2,6,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,30.0,10.0,1.0,5
2,6,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,27.0,9.0,3.0,5
2,6,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,23.0,7.666666666666667,4.0,5
2,6,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,5
2,7,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.5,9.166666666666666,1.0,4
2,7,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,27.5,9.166666666666666,1.0,4
2,7,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,26.5,8.833333333333334,3.0,4
2,7,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,20.5,6.833333333333333,4.0,4
2,8,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,28.9998,9.6666,1.0,3
2,8,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,28.6665,9.5555,2.0,3
2,8,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,26.666600000000003,8.888866666666667,3.0,3
3,1,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,26.0,8.666666666666666,1.0,11
3,1,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,24.0,8.0,2.0,11
3,1,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,22.0,7.333333333333333,3.0,11
3,1,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,22.0,7.333333333333333,3.0,11
3,1,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,21.0,7.0,5.0,11
3,1,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,19.0,6.333333333333333,6.0,11
3,1,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,18.0,6.0,7.0,11
3,1,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,17.0,5.666666666666667,8.0,11
3,1,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,16.0,5.333333333333333,9.0,11
3,1,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,15.0,5.0,10.0,11
3,1,Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,Eliminated Week 1,11,12.0,4.0,11.0,11
3,2,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,29.0,9.666666666666666,1.0,10
3,2,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,26.0,8.666666666666666,2.0,10
3,2,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,24.0,8.0,3.0,10
3,2,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,24.0,8.0,3.0,10
3,2,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,23.0,7.666666666666667,5.0,10
3,2,Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,Eliminated Week 2,10,22.0,7.333333333333333,6.0,10
3,2,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,21.0,7.0,7.0,10
3,2,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,21.0,7.0,7.0,10
3,2,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,21.0,7.0,7.0,10
3,2,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,19.0,6.333333333333333,10.0,10
3,3,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,27.0,9.0,1.0,9
3,3,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,27.0,9.0,1.0,9
3,3,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,25.0,8.333333333333334,3.0,9
3,3,Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,Eliminated Week 3,9,22.0,7.333333333333333,4.0,9
3,3,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,22.0,7.333333333333333,4.0,9
3,3,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,22.0,7.333333333333333,4.0,9
3,3,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,22.0,7.333333333333333,4.0,9
3,3,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,21.0,7.0,8.0,9
3,3,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,19.0,6.333333333333333,9.0,9
3,4,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,29.0,9.666666666666666,1.0,8
3,4,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,28.0,9.333333333333334,2.0,8
3,4,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,27.0,9.0,3.0,8
3,4,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,24.0,8.0,4.0,8
3,4,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,24.0,8.0,4.0,8
3,4,Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,Eliminated Week 4,8,24.0,8.0,4.0,8
3,4,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,22.0,7.333333333333333,7.0,8
3,4,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,20.0,6.666666666666667,8.0,8
3,5,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,27.0,9.0,1.0,7
3,5,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,27.0,9.0,1.0,7
3,5,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,27.0,9.0,1.0,7
3,5,Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,Eliminated Week 5,7,27.0,9.0,1.0,7
3,5,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,25.0,8.333333333333334,5.0,7
3,5,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,24.0,8.0,6.0,7
3,5,Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,Withdrew,6,24.0,8.0,6.0,7
3,6,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,28.0,9.333333333333334,1.0,5
3,6,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,25.0,8.333333333333334,2.0,5
3,6,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,24.0,8.0,3.0,5
3,6,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,23.0,7.666666666666667,4.0,5
3,6,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,18.0,6.0,5.0,5
3,7,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,28.5,9.5,1.0,5
3,7,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,28.5,9.5,1.0,5
3,7,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,28.0,9.333333333333334,3.0,5
3,7,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,27.0,9.0,4.0,5
3,7,Jerry Springer,Kym Johnson,TV Personality,,England,62,Eliminated Week 7,5,23.0,7.666666666666667,5.0,5
3,8,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,28.5,9.5,1.0,4
3,8,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,27.0,9.0,2.0,4
3,8,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,27.0,9.0,2.0,4
3,8,Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,Eliminated Week 8,4,26.5,8.833333333333334,4.0,4
3,9,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,29.5,9.833333333333334,1.0,3
3,9,Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3rd Place,3,29.5,9.833333333333334,1.0,3
3,9,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,29.5,9.833333333333334,1.0,3
3,10,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,1st Place,1,29.666600000000003,9.888866666666667,1.0,2
3,10,Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,2nd Place,2,29.666600000000003,9.888866666666667,1.0,2
4,1,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,24.0,8.0,1.0,11
4,1,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,23.0,7.666666666666667,2.0,11
4,1,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,21.0,7.0,3.0,11
4,1,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,21.0,7.0,3.0,11
4,1,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,Eliminated Week 2,11,19.0,6.333333333333333,5.0,11
4,1,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,19.0,6.333333333333333,5.0,11
4,1,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,18.0,6.0,7.0,11
4,1,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,17.0,5.666666666666667,8.0,11
4,1,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,16.0,5.333333333333333,9.0,11
4,1,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,15.0,5.0,10.0,11
4,1,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,13.0,4.333333333333333,11.0,11
4,2,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,27.0,9.0,1.0,11
4,2,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,26.0,8.666666666666666,2.0,11
4,2,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,24.0,8.0,3.0,11
4,2,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,24.0,8.0,3.0,11
4,2,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,22.0,7.333333333333333,5.0,11
4,2,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,11
4,2,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,21.0,7.0,6.0,11
4,2,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,21.0,7.0,6.0,11
4,2,Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,Eliminated Week 2,11,21.0,7.0,6.0,11
4,2,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,20.0,6.666666666666667,10.0,11
4,2,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,18.0,6.0,11.0,11
4,3,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,24.0,8.0,1.0,10
4,3,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,24.0,8.0,1.0,10
4,3,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,24.0,8.0,1.0,10
4,3,Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,Eliminated Week 4,9,24.0,8.0,1.0,10
4,3,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,23.0,7.666666666666667,5.0,10
4,3,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,10
4,3,Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,3rd Place,3,21.0,7.0,6.0,10
4,3,Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,Eliminated Week 3,10,21.0,7.0,6.0,10
4,3,John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,Eliminated Week 7,6,20.0,6.666666666666667,9.0,10
4,3,Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,Eliminated Week 5,8,16.0,5.333333333333333,10.0,10
4,4,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,2nd Place,2,28.0,9.333333333333334,1.0,9
4,4,Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,1st Place,1,26.0,8.666666666666666,2.0,9
4,4,Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,Eliminated Week 9,4,24.0,8.0,3.0,9
4,4,Heather Mills,Jonathan Roberts,Model,,England,39,Eliminated Week 6,7,23.0,7.666666666666667,4.0,9
4,4,Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,5.0,9
