celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week,judge1_score,judge2_score,judge3_score,judge4_score,judge_count,judge_total,judge_mean,has_score_record,active
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,1,5.0,4.0,4.0,,3,13.0,4.333333333333333,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,1,7.0,7.0,6.0,,3,20.0,6.666666666666667,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,1,7.0,7.0,6.0,,3,20.0,6.666666666666667,True,True
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,1,7.0,6.0,7.0,,3,20.0,6.666666666666667,True,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,1,5.0,7.0,6.0,,3,18.0,6.0,True,True
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,1,6.0,6.0,6.0,,3,18.0,6.0,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,2,5.0,6.0,6.0,,3,17.0,5.666666666666667,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,2,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,2,8.0,7.0,6.0,,3,21.0,7.0,True,True
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,2,8.0,8.0,8.0,,3,24.0,8.0,True,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,2,5.0,4.0,5.0,,3,14.0,4.666666666666667,True,True
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2,6.0,7.0,6.0,,3,19.0,6.333333333333333,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,3,6.0,7.0,8.0,,3,21.0,7.0,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,3,9.0,8.0,7.0,,3,24.0,8.0,True,True
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,3,7.0,7.0,8.0,,3,22.0,7.333333333333333,True,True
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,3,8.0,9.0,9.0,,3,26.0,8.666666666666666,True,True
