celebrity_name,season,modeled_weeks,mean_judge_rank,mean_fan_rank,mean_fan_rescue_gap,mean_controversy_index,max_controversy_index,mean_fan_share,final_placement,results
Vinny Guadagnino,31,8,10.875,4.5,6.375,7.625,15.0,0.0898757869519917,7,Eliminated Week 8
Joanna Krupa,9,9,2.6666666666666665,6.777777777777778,-4.111111111111111,5.222222222222222,15.0,0.12164868581117225,4,Eliminated Week 9
Cheryl Ladd,31,3,12.666666666666666,5.666666666666667,7.0,7.666666666666667,14.0,0.06728138005802327,14,Eliminated Week 3
Michael Irvin,9,7,9.857142857142858,1.7142857142857142,8.142857142857142,8.142857142857142,13.0,0.09576791004629903,7,Eliminated Week 7
Cody Rigsby,30,8,8.125,4.25,3.875,5.125,13.0,0.10219966916178548,3,3rd Place
Steve-O,8,5,10.2,2.0,8.2,8.2,12.0,0.10135901333951529,8,Eliminated Week 6
Andy Richter,34,7,9.857142857142858,2.0,7.857142857142857,7.857142857142857,12.0,0.10758667376191546,7,Eliminated Week 9
Joe Amabile,27,7,9.428571428571429,1.7142857142857142,7.714285714285714,7.714285714285714,12.0,0.11490399856103775,6,Eliminated Week 8
Betsey Johnson,19,4,8.75,4.75,4.0,6.0,12.0,0.0861623826806601,10,Eliminated Week 4
Mauricio Umansky,32,6,8.5,5.666666666666667,2.8333333333333335,4.833333333333333,12.0,0.08939667888037962,9,Eliminated Week 6
Skai Jackson,29,9,6.444444444444445,3.4444444444444446,3.0,4.333333333333333,12.0,0.10317021999193535,5,Eliminated Week 10
Bristol Palin,15,4,10.5,4.25,6.25,6.75,11.0,0.09328991767273354,9,Eliminated Week 4
