celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active,season,week,next_week,event_type,observed_eliminated,judge_percent,fan_share_est,fan_rank_est,combined_percent,combined_percent_rank,rank_rule_score,rank_rule_bad_rank,fan_rescue_gap,controversy_index,fan_share_min,fan_share_max,fan_share_width,percent_rule_eliminated,rank_rule_eliminated
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,21.0,7.0,5.0,10,2,1,2,single_elimination,False,0.1076923076923077,0.09998101569104009,9.0,0.2076733233833478,6.0,14.0,4.0,-4.0,4.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,9,2,2,3,single_elimination,False,0.115,0.11110393991651646,6.0,0.22610393991651645,6.0,10.0,5.0,-2.0,2.0,0.0,0.995,0.995,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,19.0,6.333333333333333,7.0,8,2,3,4,single_elimination,False,0.1043956043956044,0.12451775822996416,4.0,0.22891336262556855,3.0,11.0,2.0,3.0,3.0,0.01648351648351648,0.9560439560439561,0.9395604395604396,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,24.0,8.0,5.0,7,2,4,5,single_elimination,False,0.1518987341772152,0.14285340317226114,4.0,0.29475213734947636,3.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,5.0,6,2,5,6,single_elimination,False,0.152317880794702,0.16666773014817407,4.0,0.31898561094287603,2.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,5,2,6,7,single_elimination,False,0.17293233082706766,0.20001096695927,1.0,0.37294329778633767,2.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,20.5,6.833333333333333,4.0,4,2,7,8,single_elimination,False,0.20098039215686275,0.2802813262957202,1.0,0.481261718452583,2.0,5.0,2.0,3.0,3.0,0.05882352941176472,1.0,0.9411764705882353,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,11,4,2,3,single_elimination,False,0.08571428571428572,0.09086467974649097,8.0,0.17657896546077667,4.0,14.0,3.0,-2.0,2.0,0.0,0.983673469387755,0.983673469387755,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,10,4,3,4,single_elimination,False,0.0963302752293578,0.09986929554552644,6.0,0.19619957077488426,4.0,12.0,4.0,0.0,0.0,0.0,0.9724770642201835,0.9724770642201835,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,5.0,9,4,4,5,single_elimination,False,0.11052631578947368,0.11110982641263055,3.0,0.22163614220210423,4.0,8.0,7.0,2.0,2.0,0.0,0.9947368421052631,0.9947368421052631,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,17.0,5.666666666666667,7.0,8,4,5,6,single_elimination,False,0.09659090909090909,0.1249895212945409,7.0,0.22158043038545,2.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,False,True
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,21.0,7.0,6.0,7,4,6,7,single_elimination,False,0.12352941176470589,0.14304418261779117,2.0,0.26657359438249706,3.0,8.0,2.0,4.0,4.0,0.011764705882352927,0.9764705882352941,0.9647058823529412,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,19.0,6.333333333333333,6.0,6,4,7,8,single_elimination,False,0.12297734627831715,0.17825476552802566,1.0,0.3012321118063428,2.0,7.0,2.0,5.0,5.0,0.02265372168284789,1.0,0.9773462783171522,False,False
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,Eliminated Week 8,5,19.0,6.333333333333333,5.0,5,4,8,9,single_elimination,True,0.15139442231075698,0.2000181093153216,1.0,0.35141253162607855,1.0,6.0,3.0,4.0,4.0,0.0,0.248605577689243,0.248605577689243,True,False
Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,19,3rd Place,3,18.0,6.0,7.0,12,11,1,2,single_elimination,False,0.07929515418502203,0.08333302065029528,7.0,0.16262817483531733,5.0,14.0,4.0,0.0,0.0,0.0,1.0,1.0,False,False
