celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,results,placement,judge_total,judge_mean,judge_rank,contestants_active,season,week,next_week,event_type,observed_eliminated,judge_percent,fan_share_est,fan_rank_est,combined_percent,combined_percent_rank,rank_rule_score,rank_rule_bad_rank,fan_rescue_gap,controversy_index,fan_share_min,fan_share_max,fan_share_width,percent_rule_eliminated,rank_rule_eliminated
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,26.0,8.666666666666666,1.0,6,1,2,3,single_elimination,False,0.21487603305785125,0.1662437819119661,2.0,0.38111981496981734,6.0,3.0,6.0,-1.0,1.0,0.0,0.9421487603305785,0.9421487603305785,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,24.0,8.0,2.0,6,1,2,3,single_elimination,False,0.19834710743801653,0.16624299176620114,3.0,0.3645900992042177,5.0,5.0,5.0,-1.0,1.0,0.0,0.9421487603305785,0.9421487603305785,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,21.0,7.0,3.0,6,1,2,3,single_elimination,False,0.17355371900826447,0.16623241699593366,5.0,0.33978613600419816,4.0,8.0,3.0,-2.0,2.0,0.0,0.9421487603305785,0.9421487603305785,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,Eliminated Week 2,6,19.0,6.333333333333333,4.0,6,1,2,3,single_elimination,True,0.15702479338842976,0.14686139198288042,6.0,0.3038861853713102,1.0,10.0,1.0,-2.0,2.0,0.0,0.17630853994490356,0.17630853994490356,True,True
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,17.0,5.666666666666667,5.0,6,1,2,3,single_elimination,False,0.14049586776859505,0.16623570774603097,4.0,0.30673157551462604,3.0,9.0,2.0,1.0,1.0,0.01652892561983471,0.9586776859504132,0.9421487603305785,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,14.0,4.666666666666667,6.0,6,1,2,3,single_elimination,False,0.11570247933884298,0.18818370896058856,1.0,0.30388618829943154,2.0,7.0,4.0,5.0,5.0,0.04132231404958678,0.9834710743801653,0.9421487603305786,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,26.0,8.666666666666666,1.0,5,1,3,4,single_elimination,False,0.24528301886792453,0.19998439607302032,5.0,0.44526741494094485,5.0,6.0,3.0,-4.0,4.0,0.0,1.0,1.0,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,24.0,8.0,2.0,5,1,3,4,single_elimination,False,0.22641509433962265,0.20001172510179546,2.0,0.42642681944141814,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,22.0,7.333333333333333,3.0,5,1,3,4,single_elimination,False,0.20754716981132076,0.20001240889795224,1.0,0.407559578709273,3.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,21.0,7.0,4.0,5,1,3,4,single_elimination,False,0.19811320754716982,0.19999400910870083,4.0,0.3981072166558707,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,False,True
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,Eliminated Week 3,5,13.0,4.333333333333333,5.0,5,1,3,4,single_elimination,True,0.12264150943396226,0.19999745935338165,3.0,0.3226389687873439,1.0,8.0,1.0,2.0,2.0,0.0,0.2773584905660378,0.2773584905660378,True,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,26.0,8.666666666666666,1.0,4,1,4,5,single_elimination,False,0.2826086956521739,0.24913700362111446,3.0,0.5317456992732883,4.0,4.0,4.0,-2.0,2.0,0.0,0.9021739130434783,0.9021739130434783,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,Eliminated Week 4,4,25.0,8.333333333333334,2.0,4,1,4,5,single_elimination,True,0.2717391304347826,0.21767895156046854,4.0,0.48941808199525116,1.0,6.0,1.0,-2.0,2.0,0.0,0.2282608695652174,0.2282608695652174,True,True
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,21.0,7.0,3.0,4,1,4,5,single_elimination,False,0.22826086956521738,0.2611572592571571,2.0,0.48941812882237445,3.0,5.0,2.0,1.0,1.0,0.043478260869565216,0.9456521739130435,0.9021739130434783,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,20.0,6.666666666666667,4.0,4,1,4,5,single_elimination,False,0.21739130434782608,0.27202678400395086,1.0,0.4894180883517769,2.0,5.0,2.0,3.0,3.0,0.05434782608695651,0.9565217391304348,0.9021739130434783,False,False
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,2nd Place,2,27.0,9.0,1.0,3,1,5,6,single_elimination,False,0.3698630136986301,0.3333474663391975,1.0,0.7032104800378276,3.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1st Place,1,23.5,7.833333333333333,2.0,3,1,5,6,single_elimination,False,0.3219178082191781,0.3333378205333269,2.0,0.655255628752505,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,3rd Place,3,22.5,7.5,3.0,3,1,5,6,single_elimination,True,0.3082191780821918,0.3333147108718009,3.0,0.6415338889539928,1.0,6.0,1.0,0.0,0.0,0.0,0.3584474885844749,0.3584474885844749,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,24.0,8.0,1.0,10,2,1,2,single_elimination,False,0.12307692307692308,0.09999497894969131,6.0,0.2230719020266144,10.0,7.0,7.0,-5.0,5.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,23.0,7.666666666666667,2.0,10,2,1,2,single_elimination,False,0.11794871794871795,0.09999526712105589,4.0,0.21794398506977383,8.0,6.0,9.0,-2.0,2.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,23.0,7.666666666666667,2.0,10,2,1,2,single_elimination,False,0.11794871794871795,0.09999526712105589,4.0,0.21794398506977383,8.0,6.0,9.0,-2.0,2.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,22.0,7.333333333333333,4.0,10,2,1,2,single_elimination,False,0.11282051282051282,0.09999880345900754,3.0,0.21281931627952036,7.0,7.0,7.0,1.0,1.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,21.0,7.0,5.0,10,2,1,2,single_elimination,False,0.1076923076923077,0.09998101569104009,9.0,0.2076733233833478,6.0,14.0,4.0,-4.0,4.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,20.0,6.666666666666667,6.0,10,2,1,2,single_elimination,False,0.10256410256410256,0.10000216129690051,2.0,0.20256626386100307,5.0,8.0,6.0,4.0,4.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,19.0,6.333333333333333,7.0,10,2,1,2,single_elimination,False,0.09743589743589744,0.09998701224569628,8.0,0.1974229096815937,4.0,15.0,2.0,-1.0,1.0,0.0,0.9948717948717949,0.9948717948717949,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,18.0,6.0,8.0,10,2,1,2,single_elimination,False,0.09230769230769231,0.09999401301224331,7.0,0.19230170531993562,3.0,15.0,2.0,1.0,1.0,0.0,0.9948717948717949,0.9948717948717949,False,False
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,Eliminated Week 1,10,13.0,4.333333333333333,9.0,10,2,1,2,single_elimination,True,0.06666666666666667,0.09746162575780519,10.0,0.16412829242447186,1.0,19.0,1.0,-1.0,1.0,0.0,0.13333333333333336,0.13333333333333336,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,12.0,4.0,10.0,10,2,1,2,single_elimination,False,0.06153846153846154,0.10258985477477747,1.0,0.16412831631323901,2.0,11.0,5.0,9.0,9.0,0.005128205128205124,1.0,0.9948717948717949,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,29.0,9.666666666666666,1.0,9,2,2,3,single_elimination,False,0.145,0.11110460179156612,5.0,0.25610460179156613,9.0,6.0,7.0,-4.0,4.0,0.0,0.995,0.995,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,2.0,9,2,2,3,single_elimination,False,0.135,0.11111234936209301,2.0,0.24611234936209303,8.0,4.0,9.0,0.0,0.0,0.0,0.995,0.995,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,24.0,8.0,3.0,9,2,2,3,single_elimination,False,0.12,0.11111001290062489,3.0,0.23111001290062488,7.0,6.0,7.0,0.0,0.0,0.0,0.995,0.995,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,9,2,2,3,single_elimination,False,0.115,0.11110393991651646,6.0,0.22610393991651645,6.0,10.0,5.0,-2.0,2.0,0.0,0.995,0.995,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,22.0,7.333333333333333,5.0,9,2,2,3,single_elimination,False,0.11,0.11109179342235947,7.0,0.22109179342235946,4.0,12.0,2.0,-2.0,2.0,0.0,0.995,0.995,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,22.0,7.333333333333333,5.0,9,2,2,3,single_elimination,False,0.11,0.11109179342235947,7.0,0.22109179342235946,4.0,12.0,2.0,-2.0,2.0,0.0,0.995,0.995,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,20.0,6.666666666666667,7.0,9,2,2,3,single_elimination,False,0.1,0.11110767845481044,4.0,0.21110767845481043,3.0,11.0,4.0,3.0,3.0,0.0,0.995,0.995,False,False
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,Eliminated Week 2,9,17.0,5.666666666666667,8.0,9,2,2,3,single_elimination,True,0.085,0.10863890237653726,9.0,0.19363890237653725,1.0,17.0,1.0,-1.0,1.0,0.0,0.1372222222222222,0.1372222222222222,True,True
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,16.0,5.333333333333333,9.0,9,2,2,3,single_elimination,False,0.08,0.1136389274151992,1.0,0.1936389274151992,2.0,10.0,5.0,8.0,8.0,0.0050000000000000044,1.0,0.995,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,1.0,8,2,3,4,single_elimination,False,0.14835164835164835,0.12452336208123407,2.0,0.2728750104328824,7.0,3.0,7.0,-1.0,1.0,0.0,0.9395604395604396,0.9395604395604396,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,27.0,9.0,1.0,8,2,3,4,single_elimination,False,0.14835164835164835,0.12452336208123407,2.0,0.2728750104328824,7.0,3.0,7.0,-1.0,1.0,0.0,0.9395604395604396,0.9395604395604396,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,26.0,8.666666666666666,3.0,8,2,3,4,single_elimination,False,0.14285714285714285,0.12451682512096418,5.0,0.26737396797810703,6.0,8.0,6.0,-2.0,2.0,0.0,0.9395604395604396,0.9395604395604396,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,25.0,8.333333333333334,4.0,8,2,3,4,single_elimination,False,0.13736263736263737,0.12450483566337195,7.0,0.2618674730260093,5.0,11.0,2.0,-3.0,3.0,0.0,0.9395604395604396,0.9395604395604396,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,22.0,7.333333333333333,5.0,8,2,3,4,single_elimination,False,0.12087912087912088,0.1245151365903716,6.0,0.24539425746949248,4.0,11.0,2.0,-1.0,1.0,0.0,0.9395604395604396,0.9395604395604396,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,Eliminated Week 3,8,22.0,7.333333333333333,5.0,8,2,3,4,single_elimination,True,0.12087912087912088,0.10447133628478547,8.0,0.22535045716390634,1.0,13.0,1.0,-3.0,3.0,0.0,0.1291208791208791,0.1291208791208791,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,19.0,6.333333333333333,7.0,8,2,3,4,single_elimination,False,0.1043956043956044,0.12451775822996416,4.0,0.22891336262556855,3.0,11.0,2.0,3.0,3.0,0.01648351648351648,0.9560439560439561,0.9395604395604396,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,14.0,4.666666666666667,8.0,8,2,3,4,single_elimination,False,0.07692307692307693,0.14842738293279922,1.0,0.22535045985587615,2.0,9.0,5.0,7.0,7.0,0.04395604395604395,0.9835164835164836,0.9395604395604397,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,28.0,9.333333333333334,1.0,7,2,4,5,single_elimination,False,0.17721518987341772,0.14285976941332704,3.0,0.3200749592867448,7.0,4.0,7.0,-2.0,2.0,0.0,1.0,1.0,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,26.0,8.666666666666666,2.0,7,2,4,5,single_elimination,False,0.16455696202531644,0.1428500834666886,6.0,0.30740704549200504,5.0,8.0,4.0,-4.0,4.0,0.0,1.0,1.0,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,26.0,8.666666666666666,2.0,7,2,4,5,single_elimination,False,0.16455696202531644,0.1428500834666886,6.0,0.30740704549200504,5.0,8.0,4.0,-4.0,4.0,0.0,1.0,1.0,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,25.0,8.333333333333334,4.0,7,2,4,5,single_elimination,False,0.15822784810126583,0.14285139252238868,5.0,0.30107924062365454,4.0,9.0,1.0,-1.0,1.0,0.0,1.0,1.0,False,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,24.0,8.0,5.0,7,2,4,5,single_elimination,False,0.1518987341772152,0.14285340317226114,4.0,0.29475213734947636,3.0,9.0,1.0,1.0,1.0,0.0,1.0,1.0,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,21.0,7.0,6.0,7,2,4,5,single_elimination,False,0.13291139240506328,0.14287256686861016,1.0,0.27578395927367344,2.0,7.0,6.0,5.0,5.0,0.0,1.0,1.0,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,Eliminated Week 4,7,8.0,2.6666666666666665,7.0,7,2,4,5,single_elimination,True,0.05063291139240506,0.14286270009488927,2.0,0.19349561148729433,1.0,9.0,1.0,5.0,5.0,0.0,0.23508137432188067,0.23508137432188067,True,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,30.0,10.0,1.0,6,2,5,6,single_elimination,False,0.1986754966887417,0.16667410294088797,1.0,0.36534959962962965,6.0,2.0,6.0,0.0,0.0,0.0,1.0,1.0,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.0,9.0,2.0,6,2,5,6,single_elimination,False,0.17880794701986755,0.1666694338335464,3.0,0.34547738085341395,5.0,5.0,5.0,-1.0,1.0,0.0,1.0,1.0,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,25.0,8.333333333333334,3.0,6,2,5,6,single_elimination,False,0.16556291390728478,0.16666583212898156,5.0,0.33222874603626634,4.0,8.0,3.0,-2.0,2.0,0.0,1.0,1.0,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,24.0,8.0,4.0,6,2,5,6,single_elimination,False,0.15894039735099338,0.1666695539300211,2.0,0.3256099512810145,3.0,6.0,4.0,2.0,2.0,0.0,1.0,1.0,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,5.0,6,2,5,6,single_elimination,False,0.152317880794702,0.16666773014817407,4.0,0.31898561094287603,2.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,Eliminated Week 5,6,22.0,7.333333333333333,6.0,6,2,5,6,single_elimination,True,0.1456953642384106,0.16665334591674202,6.0,0.31234871015515264,1.0,12.0,1.0,0.0,0.0,0.0,0.18763796909492278,0.18763796909492278,True,True
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,30.0,10.0,1.0,5,2,6,7,single_elimination,False,0.22556390977443608,0.19999839365208474,3.0,0.4255623034265208,4.0,4.0,4.0,-2.0,2.0,0.0,1.0,1.0,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,3rd Place,3,30.0,10.0,1.0,5,2,6,7,single_elimination,False,0.22556390977443608,0.19999839365208474,3.0,0.4255623034265208,4.0,4.0,4.0,-2.0,2.0,0.0,1.0,1.0,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,Eliminated Week 7,4,27.0,9.0,3.0,5,2,6,7,single_elimination,False,0.20300751879699247,0.20000389963079235,2.0,0.4030114184277848,3.0,5.0,2.0,1.0,1.0,0.0,1.0,1.0,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,Eliminated Week 6,5,23.0,7.666666666666667,4.0,5,2,6,7,single_elimination,True,0.17293233082706766,0.19998834477705718,5.0,0.37292067560412484,1.0,9.0,1.0,-1.0,1.0,0.0,0.2270676691729323,0.2270676691729323,True,True
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2nd Place,2,23.0,7.666666666666667,4.0,5,2,6,7,single_elimination,False,0.17293233082706766,0.20001096695927,1.0,0.37294329778633767,2.0,5.0,2.0,3.0,3.0,0.0,1.0,1.0,False,False
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,1st Place,1,27.5,9.166666666666666,1.0,4,2,7,8,single_elimination,False,0.2696078431372549,0.24913044010366803,2.0,0.5187382832409229,3.0,3.0,3.0,-1.0,1.0,0.0,0.9411764705882353,0.9411764705882353,False,False
