season,week,tau,gray_zone_triggered,observed_eliminated,percent_eliminated,proposed_eliminated,proposed_changes_percent,proposed_matches_observed
1,2,0.003539060107463035,True,Trista Sutter,Trista Sutter,Evander Holyfield,True,False
1,3,0.003539060107463035,False,Evander Holyfield,Evander Holyfield,Evander Holyfield,False,True
1,4,0.003539060107463035,True,Rachel Hunter,Rachel Hunter,Joey McIntyre,True,False
1,5,0.003539060107463035,False,Joey McIntyre,Joey McIntyre,Joey McIntyre,False,True
2,1,0.003539060107463035,True,Kenny Mayne,Kenny Mayne,Master P,True,False
2,2,0.003539060107463035,True,Tatum O'Neal,Tatum O'Neal,Master P,True,False
2,3,0.003539060107463035,True,Giselle Fernandez,Giselle Fernandez,Master P,True,False
2,4,0.003539060107463035,False,Master P,Master P,Master P,False,True
2,5,0.003539060107463035,False,Tia Carrere,Tia Carrere,Tia Carrere,False,True
2,6,0.003539060107463035,True,George Hamilton,George Hamilton,George Hamilton,False,True
2,7,0.003539060107463035,True,Lisa Rinna,Lisa Rinna,Jerry Rice,True,False
3,1,0.003539060107463035,False,Tucker Carlson,Tucker Carlson,Tucker Carlson,False,True
3,2,0.003539060107463035,True,Shanna Moakler,Shanna Moakler,Jerry Springer,True,False
3,3,0.003539060107463035,True,Harry Hamlin,Harry Hamlin,Emmitt Smith,True,False
3,4,0.003539060107463035,True,Vivica A. Fox,Vivica A. Fox,Sara Evans,True,False
3,5,0.003539060107463035,False,Sara Evans;Willa Ford,Sara Evans;Willa Ford,Sara Evans,False,True
3,7,0.003539060107463035,False,Jerry Springer,Jerry Springer,Jerry Springer,False,True
3,8,0.003539060107463035,False,Monique Coleman,Monique Coleman,Monique Coleman,False,True
3,9,0.003539060107463035,True,Joey Lawrence,Joey Lawrence,Joey Lawrence,False,True
4,2,0.003539060107463035,True,Paulina Porizkova,Paulina Porizkova,Clyde Drexler,True,False
4,3,0.003539060107463035,True,Shandi Finnessey,Shandi Finnessey,Clyde Drexler,True,False
4,4,0.003539060107463035,True,Leeza Gibbons,Leeza Gibbons,Clyde Drexler,True,False
4,5,0.003539060107463035,False,Clyde Drexler,Clyde Drexler,Clyde Drexler,False,True
4,6,0.003539060107463035,True,Heather Mills,Heather Mills,John Ratzenberger,True,False
4,7,0.003539060107463035,True,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,True,False
4,8,0.003539060107463035,False,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,False,True
4,9,0.003539060107463035,False,Ian Ziering,Ian Ziering,Ian Ziering,False,True
5,1,0.003539060107463035,False,Josie Maran,Josie Maran,Josie Maran,False,True
5,2,0.003539060107463035,True,Albert Reed,Albert Reed,Wayne Newton,True,False
5,3,0.003539060107463035,False,Wayne Newton,Wayne Newton,Wayne Newton,False,True
5,4,0.003539060107463035,True,Floyd Mayweather Jr. ,Floyd Mayweather Jr. ,Mark Cuban,True,False
5,5,0.003539060107463035,True,Mark Cuban,Mark Cuban,Mark Cuban,False,True
5,6,0.003539060107463035,True,Sabrina Bryan,Sabrina Bryan,Jane Seymour,True,False
5,7,0.003539060107463035,True,Jane Seymour,Jane Seymour,Jane Seymour,False,True
5,8,0.003539060107463035,True,Cameron Mathison,Cameron Mathison,Marie Osmond,True,False
5,9,0.003539060107463035,True,Jennie Garth,Jennie Garth,Marie Osmond,True,False
6,2,0.003539060107463035,False,Monica Seles;Penn Jillette,Monica Seles;Penn Jillette,Monica Seles,False,True
6,3,0.003539060107463035,True,Steve Guttenberg,Steve Guttenberg,Marissa Jaret Winokur,True,False
6,4,0.003539060107463035,False,Adam Carolla,Adam Carolla,Adam Carolla,False,True
6,5,0.003539060107463035,False,Priscilla Presley,Priscilla Presley,Priscilla Presley,False,True
6,6,0.003539060107463035,False,Marlee Matlin,Marlee Matlin,Marlee Matlin,False,True
6,7,0.003539060107463035,True,Shannon Elizabeth,Shannon Elizabeth,Cristian de la Fuente,True,False
6,8,0.003539060107463035,True,Mario,Mario,Marissa Jaret Winokur,True,False
6,9,0.003539060107463035,False,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,False,True
7,1,0.003539060107463035,False,Jeffrey Ross;Ted McGinley,Jeffrey Ross;Ted McGinley,Jeffrey Ross,False,True
7,2,0.003539060107463035,True,Kim Kardashian;Misty May-Treanor,Kim Kardashian;Misty May-Treanor,Kim Kardashian,False,True
7,4,0.003539060107463035,False,Rocco DiSpirito,Rocco DiSpirito,Rocco DiSpirito,False,True
7,5,0.003539060107463035,True,Toni Braxton,Toni Braxton,Lance Bass,True,False
7,6,0.003539060107463035,False,Cloris Leachman,Cloris Leachman,Cloris Leachman,False,True
7,7,0.003539060107463035,True,Susan Lucci,Susan Lucci,Warren Sapp,True,False
7,8,0.003539060107463035,True,Maurice Greene,Maurice Greene,Maurice Greene,False,True
7,9,0.003539060107463035,False,Cody Linley,Cody Linley,Cody Linley,False,True
8,2,0.003539060107463035,True,Belinda Carlisle,Belinda Carlisle,Steve-O,True,False
8,3,0.003539060107463035,True,Denise Richards,Denise Richards,Steve Wozniak,True,False
8,4,0.003539060107463035,False,Holly Madison;Steve Wozniak,Holly Madison;Steve Wozniak,Steve Wozniak,False,True
8,5,0.003539060107463035,True,David Alan Grier,David Alan Grier,Steve-O,True,False
8,6,0.003539060107463035,False,Steve-O,Steve-O,Steve-O,False,True
8,7,0.003539060107463035,False,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,False,True
8,8,0.003539060107463035,True,Chuck Wicks,Chuck Wicks,Melissa Rycroft,True,False
8,9,0.003539060107463035,True,Lil' Kim,Lil' Kim,Ty Murray,True,False
