season,week,next_week,event_type,active_count,eliminated_count,observed_eliminated,percent_eliminated,rank_eliminated,judge_only_bottom,fan_only_bottom,rank_percent_different,fan_override_judges,rank_overlap_with_percent
1,2,3,single_elimination,6,1,Trista Sutter,Trista Sutter,Trista Sutter,Evander Holyfield,Trista Sutter,False,True,1
1,3,4,single_elimination,5,1,Evander Holyfield,Evander Holyfield,Kelly Monaco,Evander Holyfield,Rachel Hunter,True,False,0
1,4,5,single_elimination,4,1,Rachel Hunter,Rachel Hunter,Rachel Hunter,Joey McIntyre,Rachel Hunter,False,True,1
1,5,6,single_elimination,3,1,Joey McIntyre,Joey McIntyre,Joey McIntyre,Joey McIntyre,Joey McIntyre,False,False,1
2,1,2,single_elimination,10,1,Kenny Mayne,Kenny Mayne,Kenny Mayne,Master P,Kenny Mayne,False,True,1
2,2,3,single_elimination,9,1,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal,Master P,Tatum O'Neal,False,True,1
2,3,4,single_elimination,8,1,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez,Master P,Giselle Fernandez,False,True,1
2,4,5,single_elimination,7,1,Master P,Master P,Tia Carrere,Master P,Lisa Rinna,True,False,0
2,5,6,single_elimination,6,1,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,False,False,1
2,6,7,single_elimination,5,1,George Hamilton,George Hamilton,George Hamilton,George Hamilton,George Hamilton,False,False,1
2,7,8,single_elimination,4,1,Lisa Rinna,Lisa Rinna,Lisa Rinna,Jerry Rice,Lisa Rinna,False,True,1
3,1,2,single_elimination,11,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,False,False,1
3,2,3,single_elimination,10,1,Shanna Moakler,Shanna Moakler,Shanna Moakler,Jerry Springer,Shanna Moakler,False,True,1
3,3,4,single_elimination,9,1,Harry Hamlin,Harry Hamlin,Jerry Springer,Emmitt Smith,Harry Hamlin,True,True,0
3,4,5,single_elimination,8,1,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,Sara Evans,Vivica A. Fox,False,True,1
