season,contestants,min_placement,max_placement,active_observations,valid_weeks,max_active_week,elimination_events,no_elimination_weeks,multi_elimination_rows
1,6,1,6,26,6,6,4,1,0
2,10,1,10,52,8,8,7,0,0
3,11,1,11,64,10,10,9,1,2
4,11,1,11,74,10,10,8,1,0
5,12,1,12,75,10,10,9,0,0
6,12,1,12,76,10,10,9,1,2
7,13,1,13,75,10,10,10,1,4
8,13,1,13,91,11,11,10,1,2
9,16,1,16,92,10,10,13,0,8
10,11,1,11,74,10,10,8,1,0
11,12,1,12,75,10,10,9,0,0
12,11,1,11,74,10,10,8,1,0
13,12,1,12,75,10,10,9,0,0
14,12,1,12,82,10,10,9,1,2
15,13,1,13,83,10,10,10,2,6
16,12,1,12,84,10,10,8,1,0
17,12,1,12,92,11,11,8,2,0
18,12,1,12,80,10,10,8,2,2
19,13,1,13,94,11,11,9,1,0
20,12,1,12,82,10,10,9,1,2
21,13,1,13,93,11,11,9,4,5
22,12,1,12,85,10,10,9,2,4
23,13,1,13,97,11,11,9,2,2
24,12,1,12,81,10,10,9,1,2
25,13,1,13,90,10,10,9,2,4
26,10,1,10,27,4,4,7,0,7
27,13,1,13,82,9,9,9,1,4
28,12,1,12,92,11,11,8,3,2
29,15,1,15,115,11,11,11,1,4
30,15,1,15,105,10,10,11,1,6
31,16,1,16,107,10,10,12,0,6
32,14,1,14,100,11,11,9,1,0
33,13,1,12,77,9,9,8,2,4
34,14,1,13,106,11,11,9,2,2
